text,category,mode,trigger
That will have serious diplomatic consequences.,general,neutral,any
Politically unwise timing.,general,neutral,any
Consider the stability impact.,general,neutral,any
There's a better political angle here.,general,neutral,any
That risks everything we've built diplomatically.,general,neutral,any
I disagree with this approach entirely.,general,neutral,any
The political timing is wrong.,general,neutral,any
We can leverage this diplomatically.,general,neutral,any
That nation is not ready for that action.,general,neutral,any
The economic fallout will be severe.,general,neutral,any
Stability must come first.,general,neutral,any
This opens new diplomatic opportunities.,general,neutral,any
We're overextending politically.,general,neutral,any
The federation timing is premature.,general,neutral,any
That's the aggressive move we need.,general,neutral,any
Too cautious - we should push harder.,general,neutral,any
The bloc dynamics don't support this.,general,neutral,any
We need to consolidate before expanding.,general,neutral,any
That's within acceptable political risk.,general,neutral,any
I would recommend a different nation entirely.,general,neutral,any
