text,category,mode,trigger
That's strategically unsound.,general,neutral,any
We need military presence there.,general,neutral,any
That underestimates the threat.,general,neutral,any
Eastern Europe requires priority.,general,neutral,any
Russian doctrine says otherwise.,general,neutral,any
That's tactically viable.,general,neutral,any
Force allocation is wrong.,general,neutral,any
We're not ready for that engagement.,general,neutral,any
That's a good defensive position.,general,neutral,any
Military readiness is insufficient.,general,neutral,any
That ignores combat realities.,general,neutral,any
"From battlefield experience, no.",general,neutral,any
That theater is critical.,general,neutral,any
We can't ignore that threat.,general,neutral,any
That's how wars are lost.,general,neutral,any
Intelligence supports that assessment.,general,neutral,any
That's premature militarily.,general,neutral,any
We need more forces allocated.,general,neutral,any
That timing is right.,general,neutral,any
That's the aggressive approach needed.,general,neutral,any
Defensive posture is correct there.,general,neutral,any
