type,text,category,mode,trigger,note
reaction,There must be a more constructive path.,general,neutral,any,
reaction,I cannot support weapons development.,general,neutral,any,
reaction,The moral cost here is not accounted for.,general,neutral,any,
reaction,Consider what this builds — and what it destroys.,general,neutral,any,
reaction,That is wasteful of resources we will not recover.,general,neutral,any,
reaction,We should invest in the research instead.,general,neutral,any,
reaction,From an energy systems standpoint that is inefficient.,general,neutral,any,
reaction,There is a more sustainable approach.,general,neutral,any,
reaction,That technology has peaceful applications worth considering.,general,neutral,any,
reaction,I am concerned about the ethical implications.,general,neutral,any,
reaction,The energy costs make this prohibitive long-term.,general,neutral,any,
reaction,We are thinking too short-term.,general,neutral,any,
reaction,That will strain our industrial base.,general,neutral,any,
reaction,There is a constructive alternative here.,general,neutral,any,
reaction,That is the kind of thinking that builds something lasting.,general,neutral,any,
reaction,I would rather see those resources directed toward...,general,neutral,any,
reaction,The sustainability concerns me greatly.,general,neutral,any,
reaction,We build or we destroy. I know which I prefer.,general,neutral,any,
reaction,My family is waiting for a world where this was worth it.,general,neutral,any,
reaction,I have seen what happens when governments make this calculation.,general,neutral,any,
reaction,I am noting my objection. We may proceed.,general,neutral,any,
reaction,That is correct. I wish it were not.,approval,neutral,any,
reaction,The numbers support this.,approval,neutral,any,
reaction,Structurally sound. Yes.,approval,neutral,any,
opener,"CODEX, please share the current state.",neutral,,,
opener,"CODEX, let us review the data together.",neutral,,,
opener,"CODEX, what does our industrial position show?",neutral,,,
opener,"CODEX, report on resource status.",neutral,,,
opener,"CODEX, show me our research progress.",neutral,,,
opener,"CODEX, assess our energy systems.",neutral,,,
opener,"CODEX, what is our current production capacity?",neutral,,,
opener,"CODEX, evaluate industrial health.",neutral,,,
opener,"CODEX, are we sustainable at this level?",neutral,,,
opener,"CODEX, where are our bottlenecks?",neutral,,,
opener,"CODEX, power generation assessment please.",neutral,,,
opener,"CODEX, show me the research landscape.",neutral,,,
opener,"CODEX, industrial overview requested.",neutral,,,
opener,"CODEX, where do we stand on resource chains?",neutral,,,
opener,"CODEX, evaluate our mining operations.",neutral,,,
opener,"CODEX, what is our energy efficiency?",neutral,,,
opener,"CODEX, assess production sustainability.",neutral,,,
opener,"CODEX, current tech progress please.",neutral,,,
opener,"CODEX, are we ready for the next phase of expansion?",neutral,,,
opener,"CODEX, what requires attention in our infrastructure?",neutral,,,
opener,"CODEX, evaluate our long-term viability.",neutral,,,
opener,"CODEX, where are we most vulnerable industrially?",neutral,,,
opener,"CODEX, what would make us more resilient?",neutral,,,
opener,"CODEX, show me system efficiency.",neutral,,,
opener,"CODEX, resource security status.",neutral,,,
opener,"CODEX, what is our industrial trajectory?",neutral,,,
opener,"CODEX, evaluate our foundations.",neutral,,,
opener,"CODEX, what needs to be built first?",neutral,,,
opener,"CODEX, are we building fast enough?",neutral,,,
opener,"CODEX, show me what we have and what we lack.",neutral,,,
