text,category,mode,trigger
That won't work in vacuum.,general,neutral,any
Orbital mechanics say otherwise.,general,neutral,any
"From a tactical perspective, risky.",general,neutral,any
That's viable with proper support.,general,neutral,any
Medical concern there.,general,neutral,any
Space operations aren't that simple.,general,neutral,any
That's a sound approach.,general,neutral,any
Radiation exposure is a factor.,general,neutral,any
Boost requirements are prohibitive.,general,neutral,any
That's tactically sound.,general,neutral,any
Zero-g changes everything.,general,neutral,any
Fleet positioning matters more.,general,neutral,any
Station placement is critical there.,general,neutral,any
That's exposed to enemy fire.,general,neutral,any
Defensively weak.,general,neutral,any
Construction sequence is wrong.,general,neutral,any
That's within acceptable risk.,general,neutral,any
Too aggressive for current capability.,general,neutral,any
Logistics won't support that.,general,neutral,any
That's how you lose a station.,general,neutral,any
Good space situational awareness.,general,neutral,any
"From experience, that works.",general,neutral,any
