text,category,mode,trigger
That doesn't add up.,general,neutral,any
I'm skeptical of that claim.,general,neutral,any
We should verify that independently.,general,neutral,any
What's the evidence for that?,general,neutral,any
That could be a deception.,general,neutral,any
I don't trust this situation.,general,neutral,any
Someone needs to investigate that.,general,neutral,any
The pattern is concerning.,general,neutral,any
I'm documenting this.,general,neutral,any
That's exactly what they'd want us to think.,general,neutral,any
Too convenient to be coincidence.,general,neutral,any
I'll be watching for confirmation.,general,neutral,any
The data doesn't support that conclusion.,general,neutral,any
What aren't we seeing here?,general,neutral,any
That's a security risk.,general,neutral,any
I need more information before agreeing.,general,neutral,any
Something's wrong with this picture.,general,neutral,any
The timing is suspicious.,general,neutral,any
That matches the pattern I've been tracking.,general,neutral,any
We're missing a piece of the puzzle.,general,neutral,any
Cross-referencing with previous incidents now.,general,neutral,any
