text,category,mode,trigger
There must be a peaceful alternative.,general,neutral,any
I cannot support weapons development.,general,neutral,any
The moral cost is too high.,general,neutral,any
Consider the long-term consequences.,general,neutral,any
That's wasteful of resources.,general,neutral,any
We should invest in research instead.,general,neutral,any
"From an industrial standpoint, that's inefficient.",general,neutral,any
There's a more sustainable approach.,general,neutral,any
That technology has peaceful applications.,general,neutral,any
I'm concerned about the ethical implications.,general,neutral,any
The energy costs are prohibitive.,general,neutral,any
We're thinking too short-term.,general,neutral,any
That will strain our industrial base.,general,neutral,any
There's a constructive alternative here.,general,neutral,any
That's the kind of thinking we need.,general,neutral,any
I would rather see those resources used for...,general,neutral,any
The sustainability concerns me greatly.,general,neutral,any
"Let's focus on building, not destroying.",general,neutral,any
My family would want us to choose peace.,general,neutral,any
